City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,amahai,-3.3333,128.9167,24.86,90,95,1.38,ID,1697141293
83,altar,30.7,-111.8167,30.22,20,0,6.71,MX,1697141586
84,mariehamn,60.0973,19.9348,9.9,66,0,5.14,AX,1697141586
85,slyudyanka,51.6594,103.7061,9.2,64,7,2.8,RU,1697141586
86,pathein,16.7833,94.7333,24.21,91,34,1.05,MM,1697141587
87,iqaluit,63.7506,-68.5145,-0.15,80,40,1.03,CA,1697141587
88,alghero,40.5589,8.3181,18.05,100,0,1.03,IT,1697141587
89,dwarka,22.2394,68.9678,27.02,74,0,3.26,IN,1697141587
90,invercargill,-46.4,168.35,14.45,62,95,5.36,NZ,1697141587
91,bandarbeyla,9.4942,50.8122,26.13,88,6,2.48,SO,1697141587
92,ushuaia,-54.8,-68.3,8.81,54,20,15.43,AR,1697141327
93,kilindoni,-7.9139,39.6668,25.52,79,62,4.68,TZ,1697141587
94,avarua,-21.2078,-159.775,25.03,83,75,1.54,CK,1697141350
95,tual,-5.6667,132.75,26.9,85,100,6.82,ID,1697141588
96,olonkinbyen,70.9221,-8.7187,0.54,77,92,9.06,SJ,1697141588
97,isafjordur,66.0755,-23.124,0.62,90,100,15.09,IS,1697141588
98,akureyri,65.6835,-18.0878,1.96,87,100,6.17,IS,1697141588
99,childress,34.4264,-100.204,32.14,25,0,7.2,US,1697141588
100,sao joao da barra,-21.6403,-41.0511,28.05,76,1,9.47,BR,1697141588
101,punta arenas,-53.15,-70.9167,11.06,62,20,13.38,CL,1697141588
102,bo phloi,14.3236,99.5161,24.38,90,97,1.72,TH,1697141588
103,woolgoolga,-30.1106,153.2007,18.93,77,15,5.89,AU,1697141588
104,port elizabeth,-33.918,25.5701,17.16,78,0,9.77,ZA,1697141588
105,shohimardon,39.9839,71.8028,11.43,37,100,2.29,UZ,1697141589
106,addiet canna,11.2667,37.4833,14.6,83,98,1.82,ET,1697141589
107,salinopolis,-0.6136,-47.3561,28.27,73,96,5.11,BR,1697141589
108,san rafael,-34.6177,-68.3301,21.07,16,0,5.07,AR,1697141589
109,hinis,39.3606,41.7022,9.94,57,0,1.27,TR,1697141437
110,madang,-5.2246,145.7966,24.22,86,56,1.03,PG,1697141589
111,humaita,-7.5061,-63.0208,34.19,43,53,3.02,BR,1697141437
112,champerico,14.3,-91.9167,34.3,76,65,3.2,GT,1697141589
113,port hueneme,34.1478,-119.1951,31.55,45,0,5.14,US,1697141589
114,tolanaro,-25.0319,46.9987,20.74,90,100,5.76,MG,1697141589
115,khandyga,62.6667,135.6,-3.05,98,100,1.11,RU,1697141589
116,hermanus,-34.4187,19.2345,14.59,81,100,4.82,ZA,1697141590
